Plot;Harvest;Species;Infection;Notes
217;A16;Cb;0.5;
217;A16;Cj;0.9;
217;A16;Hl;1;
217;A16;Hp;1;
217;A16;Lp;1;
217;A16;To;0.75;
218;A16;Dg;1;
218;A16;Lp;1;
218;A16;Pt;0;
218;A16;To;0.5;
219;A16;Hl;1;
220;A16;Cb;0.5;
220;A16;Ga;0;
220;A16;Hl;1;
220;A16;Lp;1;
221;A16;Cb;0.5;
221;A16;Dg;1;
221;A16;Pt;0.4;
221;A16;To;1;
222;A16;Am;0;
222;A16;Ao;0.75;
222;A16;Dg;1;
222;A16;Hl;1;
222;A16;Pg;1;
222;A16;Pm;0;
222;A16;Ra;1;
223;A16;Am;0.12;
223;A16;Cj;1;
223;A16;Fr;1;
223;A16;Hp;NA;set to associated monoculture value
224;A16;Be;1;
225;A16;Be;0;
225;A16;Cj;0.44;
225;A16;Dc;0.8;
225;A16;Pm;0;
226;A16;Am;0;
226;A16;Ga;NA;set to associated monoculture value
226;A16;Lp;1;
226;A16;Sp;0.1;
227;A16;Am;0;
227;A16;Ao;1;
227;A16;Be;0.5;
227;A16;Fr;1;
227;A16;Hp;1;
227;A16;Pg;0.5;
227;A16;Pm;0;
227;A16;Sp;0;
228;A16;Cb;1;
228;A16;Dg;1;
228;A16;Ga;0;
228;A16;Hl;1;
228;A16;Pt;0;
228;A16;To;0.5;
229;A16;Am;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
230;A16;Am;0.25;
230;A16;Ao;1;
230;A16;Be;1;
230;A16;Cj;1;
230;A16;Dc;0.5;
230;A16;Pg;0.66;
230;A16;Pm;0;
230;A16;Sp;0;
231;A16;Be;1;
231;A16;Dc;0.9;
231;A16;Fr;0.33;
231;A16;Ga;0;
231;A16;Lp;1;
231;A16;Pt;0.66;
231;A16;Sp;0;
231;A16;To;1;
232;A16;Pt;0.1;
233;A16;Am;0;
233;A16;Ao;1;
233;A16;Be;NA;set to associated monoculture value
233;A16;Cb;0;
233;A16;Cj;1;
233;A16;Dc;0.5;
233;A16;Dg;1;
233;A16;Fr;0.2;
233;A16;Ga;0;
233;A16;Hl;1;
233;A16;Hp;1;
233;A16;Lp;0.85;
233;A16;Pg;0.33;
233;A16;Pm;0;
233;A16;Pt;0;
233;A16;Ra;NA;set to associated monoculture value
233;A16;Sp;0;
233;A16;To;0.33;
234;A16;Cj;1;
235;A16;Cb;0.88;
235;A16;Ga;0;
235;A16;Hl;1;
236;A16;Be;0;
236;A16;Dc;0.8;
236;A16;Ga;0;
236;A16;Lp;1;
236;A16;Pg;0.75;
236;A16;Pm;0;
236;A16;Ra;1;
237;A16;Dg;1;
237;A16;Lp;0.9;
237;A16;Pt;0;
238;A16;Ao;1;
238;A16;Dg;1;
238;A16;Hp;1;
238;A16;Ra;1;
239;A16;Dg;1;
239;A16;Lp;1;
239;A16;To;0.9;
240;A16;Dc;0;
240;A16;Dg;NA;set to associated monoculture value
240;A16;Ga;0;
240;A16;Hl;1;
240;A16;Hp;NA;set to associated monoculture value
240;A16;Lp;1;
240;A16;Pg;0.5;
240;A16;Pm;0;
241;A16;Be;NA;set to associated monoculture value
241;A16;Cb;0.66;
241;A16;Dc;0.5;
241;A16;Dg;1;
241;A16;Hl;1;
241;A16;Hp;1;
241;A16;Pg;0.5;
241;A16;Ra;0.75;
242;A16;Ao;1;
243;A16;Cb;1;
243;A16;Dg;NA;set to associated monoculture value
243;A16;Ga;0;
243;A16;Hl;1;
243;A16;Ra;0.5;
243;A16;To;1;
244;A16;Hp;0.66;
244;A16;Pg;0.5;
244;A16;Pm;0;
244;A16;Sp;0;
245;A16;Ao;0.9;
245;A16;Dc;0;
245;A16;Fr;1;
245;A16;Pm;0.05;
246;A16;Cb;1;
246;A16;Dg;NA;set to associated monoculture value
246;A16;Ga;0;
246;A16;Lp;1;
246;A16;Pt;0.5;
246;A16;Ra;0.33;
246;A16;To;0.9;
247;A16;Am;0;
247;A16;Ao;1;
247;A16;Be;NA;set to associated monoculture value
247;A16;Cb;NA;set to associated monoculture value
247;A16;Cj;1;
247;A16;Dc;0.8;
247;A16;Dg;0;
247;A16;Fr;1;
247;A16;Ga;NA;set to associated monoculture value
247;A16;Hl;1;
247;A16;Hp;1;
247;A16;Lp;1;
247;A16;Pg;0.5;
247;A16;Pm;0;
247;A16;Pt;0;
247;A16;Ra;1;
247;A16;Sp;0;
247;A16;To;1;
248;A16;Ra;0.9;
249;A16;Cb;1;
249;A16;Dg;0.75;
249;A16;Ga;NA;set to associated monoculture value
249;A16;Lp;1;
249;A16;Pt;0.66;
249;A16;Ra;0.8;
250;A16;Pg;0.33;
252;A16;Am;0;
252;A16;Ao;1;
252;A16;Be;NA;set to associated monoculture value
252;A16;Cj;1;
252;A16;Fr;0.6;
252;A16;Hp;1;
252;A16;Pg;0.5;
252;A16;Sp;0;
253;A16;Fr;0.5;
253;A16;Pt;0;
253;A16;Ra;0.5;
253;A16;Sp;0.1;
254;A16;Am;NA;set to associated monoculture value
254;A16;Be;1;
254;A16;Cj;0.75;
254;A16;Dc;0.5;
254;A16;Fr;0.9;
254;A16;Pg;0.9;
254;A16;Pm;0;
254;A16;Sp;0;
255;A16;Cb;1;
255;A16;Dg;1;
255;A16;Pt;NA;set to associated monoculture value
255;A16;To;1;
256;A16;Hp;1;
256;A16;Pg;0.9;
256;A16;Pm;0;
256;A16;Sp;0;
257;A16;Ao;0.2;
257;A16;Dc;0.6;
257;A16;Fr;0.1;
257;A16;Pm;0;
258;A16;Am;0;
258;A16;Ao;0.33;
258;A16;Be;0.33;
258;A16;Cj;1;
258;A16;Dc;0.5;
258;A16;Fr;0.5;
258;A16;Hp;0.75;
258;A16;Pm;0;
259;A16;Cb;1;
259;A16;Ga;0;
259;A16;Hl;1;
259;A16;Lp;1;
260;A16;Am;0;
260;A16;Dg;0.5;
260;A16;Sp;0;
261;A16;Dg;1;
261;A16;Hl;1;
261;A16;Pt;0.66;
262;A16;Pg;0.33;
263;A16;Cb;0;
263;A16;Ga;0;
263;A16;Lp;1;
263;A16;Pt;0;
263;A16;Ra;1;
263;A16;To;0.2;
264;A16;Ao;0.4;
264;A16;Dg;1;
264;A16;Hp;1;
264;A16;Ra;0.8;
265;A16;Am;0;
265;A16;Dc;0.7;
265;A16;Lp;1;
265;A16;To;0.5;
266;A16;Ao;0.25;
266;A16;Cj;1;
266;A16;Fr;0.9;
266;A16;Pg;0.5;
267;A16;Ga;0;
267;A16;Hl;1;
267;A16;Lp;1;
267;A16;Pt;0.1;
267;A16;Ra;0;
267;A16;To;0.14;
268;A16;Am;0;
268;A16;Ao;0.25;
268;A16;Dg;0.9;
268;A16;Hl;1;
268;A16;Pg;0.2;
268;A16;Pm;0;
268;A16;Ra;0.5;
269;A16;Dc;0.6;
269;A16;Hl;1;
269;A16;Hp;1;
269;A16;Pg;0.3;
269;A16;Pm;0;
269;A16;To;0.33;
270;A16;Dg;1;
270;A16;Lp;1;
270;A16;To;0.15;
271;A16;Ao;0;
271;A16;Be;0.66;
271;A16;Cj;1;
271;A16;Dc;0.5;
271;A16;Fr;0.5;
271;A16;Pg;0.66;
271;A16;Pm;0;
271;A16;Sp;0;
272;A16;Am;0;
272;A16;Ao;0.6;
272;A16;Dc;0.5;
272;A16;Pm;0;
273;A16;Cj;1;
273;A16;Dg;0.8;
273;A16;Sp;0;
273;A16;To;0.8;
274;A16;Pm;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
275;A16;Fr;0.4;
276;A16;Ao;0;
276;A16;Be;0.5;
276;A16;Cb;0;
276;A16;Cj;0.8;
276;A16;Hl;NA;set to associated monoculture value
276;A16;Hp;1;
276;A16;Lp;1;
276;A16;To;0.33;
277;A16;Cb;0.35;
277;A16;Ga;0;
277;A16;Hl;NA;set to associated monoculture value
277;A16;Lp;1;
277;A16;Pt;0.5;
277;A16;Ra;1;
277;A16;To;0.55;
278;A16;Ao;0.2;
279;A16;Sp;0.25;
280;A16;Be;0.33;
280;A16;Dc;0.7;
280;A16;Ga;0;
280;A16;Lp;1;
280;A16;Pg;0.85;
280;A16;Pm;0;
280;A16;Ra;1;
281;A16;Am;0.1;
282;A16;Am;0;
282;A16;Ao;0;
282;A16;Be;0.5;
282;A16;Dc;0.5;
282;A16;Fr;0.5;
282;A16;Hp;1;
282;A16;Pm;0;
282;A16;Sp;0;
283;A16;Dc;0.9;
283;A16;Lp;1;
283;A16;Pm;0;
283;A16;To;0.33;
284;A16;Be;1;
284;A16;Cj;1;
284;A16;Dc;0.5;
284;A16;Pm;0;
285;A16;Am;0;
285;A16;Ao;0;
285;A16;Be;0.8;
285;A16;Fr;0.5;
285;A16;Hp;1;
285;A16;Pg;0.5;
285;A16;Pm;0;
285;A16;Sp;0;
286;A16;Cb;1;
287;A16;Dg;0.75;
287;A16;Lp;1;
287;A16;Pt;0.33;
287;A16;To;0.1;
288;A16;Am;0;
288;A16;Be;1;
288;A16;Cj;0.95;
288;A16;Dc;0.5;
288;A16;Hp;0.66;
288;A16;Pg;0.3;
288;A16;Pm;0;
288;A16;Sp;0.1;
289;A16;Dg;0.7;
289;A16;Lp;1;
289;A16;Pt;0;
290;A16;Am;0;
290;A16;Ao;0;
290;A16;Be;0.75;
290;A16;Cb;0.5;
290;A16;Cj;0.3;
290;A16;Dc;0;
290;A16;Dg;1;
290;A16;Fr;0.8;
290;A16;Ga;0;
290;A16;Hl;NA;set to associated monoculture value
290;A16;Hp;1;
290;A16;Lp;1;
290;A16;Pg;0.5;
290;A16;Pm;0;
290;A16;Pt;NA;set to associated monoculture value
290;A16;Ra;NA;set to associated monoculture value
290;A16;Sp;0;
290;A16;To;0;
291;A16;Cj;0.5;
291;A16;Fr;0.5;
291;A16;Ga;0;
291;A16;Pm;0;
291;A16;Pt;NA;set to associated monoculture value
291;A16;Sp;0.1;
291;A16;To;0.5;
292;A16;Pt;0.2;
293;A16;Ao;0.6;
293;A16;Cb;0.75;
293;A16;Dg;0.75;
293;A16;Ga;0;
293;A16;Hp;1;
293;A16;Pg;0.4;
293;A16;Ra;0.6;
293;A16;Sp;0;
294;A16;Lp;1;
295;A16;Am;0.25;
295;A16;Ao;0;
295;A16;Be;NA;set to associated monoculture value
295;A16;Cb;0.5;
295;A16;Cj;0.5;
295;A16;Dc;0.6;
295;A16;Dg;0.5;
295;A16;Fr;0.75;
295;A16;Ga;NA;set to associated monoculture value
295;A16;Hl;1;
295;A16;Hp;NA;set to associated monoculture value
295;A16;Lp;1;
295;A16;Pg;0.75;
295;A16;Pm;0;
295;A16;Pt;NA;set to associated monoculture value
295;A16;Ra;NA;set to associated monoculture value
295;A16;Sp;0;
295;A16;To;0;
296;A16;Dg;0.7;
296;A16;Lp;0.75;
296;A16;Ra;0.5;
297;A16;Dg;0.75;
297;A16;Ga;0;
297;A16;Ra;0.6;
298;A16;Dg;0.9;
299;A16;Hl;0.9;
300;A16;Cb;1;
300;A16;Dg;1;
300;A16;Ga;0;
300;A16;Lp;1;
300;A16;Pt;0.5;
300;A16;Ra;1;
300;A16;To;1;
301;A16;Cb;0.66;
301;A16;Dg;1;
301;A16;Ga;0;
301;A16;Lp;1;
301;A16;Pt;0;
301;A16;Ra;0.5;
302;A16;Ao;0.2;
302;A16;Dc;0.6;
302;A16;Dg;1;
302;A16;To;0.4;
303;A16;Am;0;
303;A16;Ao;0.55;
303;A16;Cb;1;
303;A16;Ga;0.33;
303;A16;Pm;0;
303;A16;Sp;0.1;
304;A16;Cb;1;
304;A16;Dg;1;
304;A16;Ga;0;
304;A16;Hl;1;
304;A16;Pt;NA;set to associated monoculture value
304;A16;To;1;
305;A16;Cb;0.95;
305;A16;Ga;0.1;
305;A16;Hl;1;
306;A16;Dc;0.5;
306;A16;Dg;1;
306;A16;Ga;0;
306;A16;Hl;1;
306;A16;Hp;1;
306;A16;Lp;1;
306;A16;Pg;0.8;
306;A16;Pm;0;
307;A16;Am;0;
307;A16;Ao;0;
307;A16;Be;1;
307;A16;Cj;0.5;
307;A16;Dc;0.4;
307;A16;Hp;0.8;
307;A16;Pm;0;
307;A16;Sp;0;
308;A16;Am;0;
308;A16;Ao;NA;set to associated monoculture value
308;A16;Be;1;
308;A16;Cb;0.33;
308;A16;Cj;0.12;
308;A16;Dc;0;
308;A16;Dg;0.5;
308;A16;Fr;0;
308;A16;Ga;0;
308;A16;Hl;1;
308;A16;Hp;1;
308;A16;Lp;1;
308;A16;Pg;0.5;
308;A16;Pm;0;
308;A16;Pt;0;
308;A16;Ra;1;
308;A16;Sp;0;
308;A16;To;0;
309;A16;Am;0.1;
309;A16;Ao;0.33;
309;A16;Fr;0.5;
309;A16;Hp;0.8;
310;A16;Be;0.5;
310;A16;Ga;0.25;
310;A16;Pm;0;
310;A16;To;0.16;
311;A16;Dg;1;
311;A16;Ga;0;
311;A16;Hl;1;
311;A16;Lp;1;
311;A16;Pt;0;
311;A16;To;0.25;
312;A16;Dc;0.8;
312;A16;Hp;0.9;
312;A16;Pg;0.4;
312;A16;Sp;0;
313;A16;Ra;0.66;
314;A16;Am;0;
314;A16;Cj;0.95;
314;A16;Fr;0.3;
314;A16;Hp;1;
316;A16;Ao;0.7;
316;A16;Cj;0.9;
316;A16;Dc;0.3;
316;A16;Sp;0;
317;A16;Cb;0.75;
317;A16;Dg;0.66;
317;A16;Ga;0;
317;A16;Hl;1;
317;A16;Ra;0.55;
317;A16;To;0;
318;A16;To;1;
319;A16;Am;0;
319;A16;Ga;0;
319;A16;Lp;1;
319;A16;Sp;0;
320;A16;Am;0;
320;A16;Ao;0;
320;A16;Be;0;
320;A16;Cj;0.6;
320;A16;Fr;0.2;
320;A16;Hp;0.95;
320;A16;Pg;0.5;
320;A16;Sp;0;
321;A16;Dc;0.6;
322;A16;Cb;0.3;
322;A16;Hp;0.5;
322;A16;Lp;1;
322;A16;Pg;0.3;
323;A16;Cb;0.33;
323;A16;Dg;0.5;
323;A16;Hl;1;
323;A16;Lp;0.8;
323;A16;Pt;0;
323;A16;To;0.4;
324;A16;Ao;0.4;
324;A16;Be;NA;set to associated monoculture value
324;A16;Cj;1;
324;A16;Dc;0.7;
324;A16;Fr;0.5;
324;A16;Hp;NA;set to associated monoculture value
324;A16;Pg;0.3;
324;A16;Pm;0;
325;A16;Be;0;
325;A16;Dc;0.5;
325;A16;Fr;0;
325;A16;Ga;0;
325;A16;Lp;0.8;
325;A16;Pt;0;
325;A16;Sp;0;
325;A16;To;0.25;
326;A16;Dg;0.8;
326;A16;Ga;0;
326;A16;Ra;0.8;
327;A16;Cj;0.5;
328;A16;Am;0;
328;A16;Ao;NA;set to associated monoculture value
328;A16;Be;NA;set to associated monoculture value
328;A16;Cb;0.5;
328;A16;Cj;1;
328;A16;Dc;0.5;
328;A16;Dg;NA;set to associated monoculture value
328;A16;Fr;0;
328;A16;Ga;0;
328;A16;Hl;1;
328;A16;Hp;1;
328;A16;Lp;0.8;
328;A16;Pg;0.6;
328;A16;Pm;0;
328;A16;Pt;0;
328;A16;Ra;0;
328;A16;Sp;0;
328;A16;To;0;
330;A16;Hp;0.3;
331;A16;Ao;0.3;
331;A16;Cj;0.5;
331;A16;Hp;0.8;
331;A16;Pg;0.1;
332;A16;Cb;0.75;
332;A16;Dg;1;
332;A16;Ga;0;
332;A16;Hl;1;
332;A16;Lp;1;
332;A16;To;0.25;
333;A16;Be;0;
333;A16;Cb;0.2;
333;A16;Dc;0.5;
333;A16;Dg;1;
333;A16;Hl;1;
333;A16;Hp;0.75;
333;A16;Pg;0.5;
333;A16;Ra;0;
334;A16;Ga;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
335;A16;Be;0.5;
336;A16;Am;0;
336;A16;Ao;0.5;
336;A16;Be;0.5;
336;A16;Cj;1;
336;A16;Dc;1;
336;A16;Pg;0.33;
336;A16;Pm;0;
336;A16;Sp;0;
1;A17;Cj;0.8;
1;A17;Dg;0.7;
1;A17;Sp;0.5;
1;A17;To;1;
2;A17;Dc;0;
2;A17;Lp;1;
2;A17;Pm;0;
2;A17;To;1;
3;A17;Ao;0.66;
3;A17;Be;0.5;
3;A17;Cb;0.9;
3;A17;Cj;0.9;
3;A17;Hl;0.5;
3;A17;Hp;0.65;
3;A17;Lp;1;
3;A17;To;1;
4;A17;Dg;1;
5;A17;Ao;1;
5;A17;Dg;1;
5;A17;Hp;1;
5;A17;Ra;0.5;
6;A17;Pm;0.03;
7;A17;Dg;1;
7;A17;Hl;1;
7;A17;Pt;NA;set to associated monoculture value
8;A17;Ao;0.9;
9;A17;Dg;1;
9;A17;Lp;1;
9;A17;To;0.9;
10;A17;Ao;1;
10;A17;Cj;0.9;
10;A17;Dc;0;
10;A17;Sp;0.25;
11;A17;Ao;1;
11;A17;Be;0;
11;A17;Cj;1;
11;A17;Dc;0;
11;A17;Fr;1;
11;A17;Pg;1;
11;A17;Pm;0;
11;A17;Sp;0.5;
12;A17;Cb;1;
12;A17;Dg;1;
12;A17;Ga;1;
12;A17;Lp;1;
12;A17;Pt;NA;set to associated monoculture value
12;A17;Ra;1;
13;A17;Cb;1;
13;A17;Ga;1;
13;A17;Hl;1;
14;A17;Am;0.95;
14;A17;Dc;NA;set to associated monoculture value
14;A17;Lp;1;
14;A17;To;1;
15;A17;Dc;NA;set to associated monoculture value
15;A17;Hp;1;
15;A17;Pg;1;
15;A17;Sp;0.5;
16;A17;Dc;0.75;
17;A17;Ra;0.95;
18;A17;Be;0;
18;A17;Dc;0;
18;A17;Fr;0.4;
18;A17;Ga;1;
18;A17;Lp;1;
18;A17;Pt;NA;set to associated monoculture value
18;A17;Sp;0.33;
18;A17;To;1;
19;A17;Cb;1;
19;A17;Dg;1;
19;A17;Pt;0.5;
19;A17;To;1;
20;A17;Pt;0.7;
21;A17;Am;0.25;
21;A17;Ao;0;
21;A17;Be;1;
21;A17;Cb;1;
21;A17;Cj;1;
21;A17;Dc;0.5;
21;A17;Dg;0.66;
21;A17;Fr;0.8;
21;A17;Ga;0.66;
21;A17;Hl;0.5;
21;A17;Hp;1;
21;A17;Lp;1;
21;A17;Pg;1;
21;A17;Pm;0.2;
21;A17;Pt;NA;set to associated monoculture value
21;A17;Ra;1;
21;A17;Sp;0.15;
21;A17;To;1;
22;A17;Ao;1;
22;A17;Cj;1;
22;A17;Hp;1;
22;A17;Pg;0.8;
23;A17;Am;0.9;
23;A17;Cj;1;
23;A17;Fr;0.5;
23;A17;Hp;1;
24;A17;Dg;1;
24;A17;Lp;0.6;
24;A17;Pt;NA;set to associated monoculture value
24;A17;To;1;
25;A17;Hp;1;
25;A17;Pg;0.9;
25;A17;Pm;0.1;
25;A17;Sp;0.4;
26;A17;Hl;1;
27;A17;Dg;1;
27;A17;Lp;1;
27;A17;Ra;1;
28;A17;Ao;0.4;
28;A17;Be;0.66;
28;A17;Cj;0.9;
28;A17;Dc;NA;set to associated monoculture value
28;A17;Fr;0.5;
28;A17;Hp;1;
28;A17;Pg;1;
28;A17;Pm;0.2;
29;A17;Am;0.5;
29;A17;Be;1;
29;A17;Cj;0.9;
29;A17;Dc;NA;set to associated monoculture value
29;A17;Hp;1;
29;A17;Pg;0.9;
29;A17;Pm;0.05;
29;A17;Sp;0.15;
30;A17;Am;0.3;
32;A17;Lp;1;
33;A17;Fr;1;
33;A17;Pt;0.66;
33;A17;Ra;1;
33;A17;Sp;0.5;
34;A17;Ao;1;
34;A17;Cb;1;
34;A17;Dg;1;
34;A17;Ga;1;
34;A17;Hp;1;
34;A17;Pg;0.6;
34;A17;Ra;0.5;
34;A17;Sp;0.2;
35;A17;Be;0.75;
35;A17;Cb;1;
35;A17;Dc;0.25;
35;A17;Dg;1;
35;A17;Hl;1;
35;A17;Hp;1;
35;A17;Pg;0.5;
35;A17;Ra;1;
36;A17;Cb;1;
36;A17;Dg;0.7;
36;A17;Hl;1;
36;A17;Lp;1;
36;A17;Pt;1;
36;A17;To;1;
37;A17;Ao;1;
37;A17;Dc;0.5;
37;A17;Fr;1;
37;A17;Pm;0.1;
38;A17;Ao;0.75;
38;A17;Dc;0;
38;A17;Dg;1;
38;A17;To;0.9;
39;A17;Cb;1;
39;A17;Hp;1;
39;A17;Lp;0.8;
39;A17;Pg;0.9;
40;A17;Ga;1;
40;A17;Hl;1;
40;A17;Lp;1;
40;A17;Pt;1;
40;A17;Ra;1;
40;A17;To;1;
41;A17;Am;0.5;
41;A17;Ao;0.9;
41;A17;Be;1;
41;A17;Cj;1;
41;A17;Dc;NA;set to associated monoculture value
41;A17;Fr;1;
41;A17;Hp;1;
41;A17;Pm;0.25;
42;A17;Be;0.85;
42;A17;Cj;0.9;
42;A17;Dc;0;
42;A17;Pm;0.1;
43;A17;Am;0.3;
43;A17;Ao;0.5;
43;A17;Be;1;
43;A17;Cb;1;
43;A17;Cj;0.95;
43;A17;Dc;NA;set to associated monoculture value
43;A17;Dg;1;
43;A17;Fr;1;
43;A17;Ga;0.5;
43;A17;Hl;1;
43;A17;Hp;1;
43;A17;Lp;1;
43;A17;Pg;0.66;
43;A17;Pm;0.4;
43;A17;Pt;1;
43;A17;Ra;NA;set to associated monoculture value
43;A17;Sp;0.4;
43;A17;To;1;
44;A17;Am;0.75;
44;A17;Ao;1;
44;A17;Dg;1;
44;A17;Hl;1;
44;A17;Pg;0.5;
44;A17;Pm;0.2;
44;A17;Ra;1;
45;A17;Be;1;
46;A17;Am;0.6;
46;A17;Ao;1;
46;A17;Fr;1;
46;A17;Hp;1;
47;A17;Pg;0.8;
48;A17;Cb;1;
48;A17;Dg;0.9;
48;A17;Ga;1;
48;A17;Hl;1;
48;A17;Pt;0;
48;A17;To;1;
49;A17;Dc;NA;set to associated monoculture value
49;A17;Hl;1;
49;A17;Hp;1;
49;A17;Pg;0.8;
49;A17;Pm;0.15;
49;A17;To;1;
50;A17;Am;0.4;
50;A17;Ao;1;
50;A17;Be;1;
50;A17;Dc;0;
50;A17;Fr;1;
50;A17;Hp;1;
50;A17;Pm;0.1;
50;A17;Sp;0.5;
51;A17;Am;0.4;
51;A17;Be;1;
51;A17;Cj;0.9;
51;A17;Dc;NA;set to associated monoculture value
51;A17;Fr;1;
51;A17;Pg;1;
51;A17;Pm;0.2;
51;A17;Sp;0.4;
52;A17;To;1;
53;A17;Dg;0.8;
53;A17;Ga;1;
53;A17;Ra;0.9;
54;A17;Am;0.7;
54;A17;Ao;1;
54;A17;Be;0.88;
54;A17;Cj;1;
54;A17;Dc;NA;set to associated monoculture value
54;A17;Pg;1;
54;A17;Pm;0.1;
54;A17;Sp;0.2;
55;A17;Am;0.8;
55;A17;Ao;0.8;
55;A17;Dc;NA;set to associated monoculture value
55;A17;Pm;0.1;
56;A17;Cj;1;
57;A17;Am;0.8;
57;A17;Ao;1;
57;A17;Be;1;
57;A17;Cj;0.9;
57;A17;Fr;0.9;
57;A17;Hp;1;
57;A17;Pg;1;
57;A17;Sp;0.1;
58;A17;Dg;1;
58;A17;Ga;1;
58;A17;Ra;0.9;
59;A17;Am;0;
59;A17;Ao;0;
59;A17;Be;1;
59;A17;Cb;1;
59;A17;Cj;1;
59;A17;Dc;0;
59;A17;Dg;1;
59;A17;Fr;0.8;
59;A17;Ga;1;
59;A17;Hl;1;
59;A17;Hp;1;
59;A17;Lp;0.95;
59;A17;Pg;1;
59;A17;Pm;0.1;
59;A17;Pt;NA;set to associated monoculture value
59;A17;Ra;1;
59;A17;Sp;0;
59;A17;To;1;
60;A17;Cb;1;
61;A17;Dg;1;
61;A17;Ga;1;
61;A17;Hl;1;
61;A17;Lp;1;
61;A17;Pt;NA;set to associated monoculture value
61;A17;To;1;
62;A17;Am;0.9;
62;A17;Ao;1;
62;A17;Be;0.5;
62;A17;Fr;1;
62;A17;Hp;1;
62;A17;Pg;1;
62;A17;Pm;0.3;
62;A17;Sp;0.3;
63;A17;Cb;1;
63;A17;Dg;1;
63;A17;Ga;1;
63;A17;Hl;1;
63;A17;Lp;1;
63;A17;To;1;
64;A17;Cb;1;
64;A17;Ga;1;
64;A17;Hl;1;
64;A17;Lp;1;
65;A17;Cb;1;
65;A17;Dg;1;
65;A17;Ga;1;
65;A17;Lp;1;
65;A17;Pt;1;
65;A17;Ra;1;
65;A17;To;0.9;
66;A17;Am;1;
66;A17;Dg;0.75;
66;A17;Sp;0.2;
67;A17;Hp;1;
68;A17;Ao;0.8;
68;A17;Cj;1;
68;A17;Fr;1;
68;A17;Pg;1;
69;A17;Cb;1;
69;A17;Dg;1;
69;A17;Ga;1;
69;A17;Hl;1;
69;A17;Ra;1;
69;A17;To;1;
70;A17;Cj;1;
70;A17;Fr;0.9;
70;A17;Ga;1;
70;A17;Pm;0.2;
70;A17;Pt;0.5;
70;A17;Sp;0.1;
70;A17;To;1;
71;A17;Fr;0.9;
72;A17;Dc;0;
72;A17;Dg;1;
72;A17;Ga;1;
72;A17;Hl;1;
72;A17;Hp;1;
72;A17;Lp;1;
72;A17;Pg;1;
72;A17;Pm;0;
73;A17;Be;1;
73;A17;Dc;NA;set to associated monoculture value
73;A17;Ga;1;
73;A17;Lp;1;
73;A17;Pg;1;
73;A17;Pm;0.1;
73;A17;Ra;1;
74;A17;Dg;1;
74;A17;Lp;1;
74;A17;Pt;1;
75;A17;Be;0.75;
75;A17;Ga;1;
75;A17;Pm;0.05;
75;A17;To;1;
76;A17;Am;0.3;
76;A17;Ao;0.8;
76;A17;Cb;1;
76;A17;Ga;1;
76;A17;Pm;0.05;
76;A17;Sp;0.15;
77;A17;Am;0.5;
77;A17;Ga;0.85;
77;A17;Lp;0.95;
77;A17;Sp;0.1;
78;A17;Ga;1;
79;A17;Sp;0.2;
80;A17;Cb;1;
80;A17;Ga;1;
80;A17;Lp;1;
80;A17;Pt;0;
80;A17;Ra;1;
80;A17;To;1;
82;A17;Am;0.8;
82;A17;Ao;0.7;
82;A17;Be;NA;set to associated monoculture value
82;A17;Cj;1;
82;A17;Dc;NA;set to associated monoculture value
82;A17;Hp;1;
82;A17;Pm;0.2;
82;A17;Sp;0.2;
83;A17;Am;0.7;
83;A17;Ao;0.8;
83;A17;Be;1;
83;A17;Cb;NA;set to associated monoculture value
83;A17;Cj;1;
83;A17;Dc;NA;set to associated monoculture value
83;A17;Dg;1;
83;A17;Fr;0.8;
83;A17;Ga;1;
83;A17;Hl;1;
83;A17;Hp;1;
83;A17;Lp;1;
83;A17;Pg;0.9;
83;A17;Pm;0;
83;A17;Pt;NA;set to associated monoculture value
83;A17;Ra;1;
83;A17;Sp;0.95;
83;A17;To;1;
84;A17;Cb;1;
84;A17;Ga;1;
84;A17;Hl;1;
84;A17;Lp;1;
84;A17;Pt;0.2;
84;A17;Ra;0.5;
84;A17;To;1;
85;A17;Am;0.4;
85;A17;Be;0.66;
85;A17;Cj;1;
85;A17;Dc;0.25;
85;A17;Fr;0.95;
85;A17;Pg;1;
85;A17;Pm;0.2;
85;A17;Sp;0.2;
86;A17;Cb;1;
86;A17;Dg;0.5;
86;A17;Ga;1;
86;A17;Hl;0.75;
86;A17;Pt;NA;set to associated monoculture value
86;A17;To;1;
87;A17;Be;0.75;
87;A17;Dc;0;
87;A17;Ga;1;
87;A17;Lp;1;
87;A17;Pg;0.9;
87;A17;Pm;0.15;
87;A17;Ra;0.33;
88;A17;Pg;1;
89;A17;Cb;1;
89;A17;Ga;0.8;
89;A17;Lp;1;
89;A17;Pt;NA;set to associated monoculture value
89;A17;Ra;1;
89;A17;To;1;
90;A17;Am;0.7;
90;A17;Ao;1;
90;A17;Dg;1;
90;A17;Hl;1;
90;A17;Pg;0.9;
90;A17;Pm;0.15;
90;A17;Ra;1;
91;A17;Ao;0.85;
92;A17;Ao;0.85;
92;A17;Cj;1;
92;A17;Hp;1;
92;A17;Pg;1;
93;A17;Lp;1;
94;A17;Cb;1;
94;A17;Dg;1;
94;A17;Ga;1;
